======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-21 14:15:51
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2018-01-01
  End Date          : 2026-02-21
  Daily SL          : True
  Mid-Week Buy      : False
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  SL Step Percent   : 0.1
  ATR Fallback Pct   : 0.03

[ PERFORMANCE METRICS ]
  Final Portfolio   :    1,698,199.60
  Total Return      :   +1,498,199.60  (+749.10%)
  CAGR              :     +30.06%
  XIRR              :     +19.80%
  Max Drawdown      :      35.99%
  Sharpe Ratio      :       0.66
  Sortino Ratio     :       2.39
  Calmar Ratio      :       0.84

[ TRADE STATISTICS ]
  Total Trades      : 1567
  Win Rate          :      37.33%
  Profit Factor     :       1.40
  Expectancy/Trade  :    +544.54
  Avg Holding Days  :       25.1
  Winners           : 585
  Losers            : 982
  Avg Win           :       +5,158.79
  Avg Loss          :       -2,188.57
  Best Trade        : MIDWEST +231,315.70
  Worst Trade       : MODINSU -18,094.40

[ TRANSACTION COSTS ]
  Total Buy Value   :   39,241,195.68
  Total Sell Value  :   40,109,913.03
  Total Turnover    :   79,351,108.71
  ---
  Buy Side Costs    :       46,810.28
  Sell Side Costs   :       62,201.13
  Total Costs       :      109,011.41
  ---
  Brokerage         :            0.00
  STT               :       79,351.19
  GST               :          506.99
  Stamp Duty        :        5,886.19
  Cost as % Return  :       7.28%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 585
  STCG Gains        :    3,017,893.48
  STCG Tax (20%)    :      603,578.68
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :      603,578.68
  Total Costs+Tax   :      712,590.09
  Net Post-Tax Ret  :     +785,609.51

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  -------------------- ------------ ------------ ---------- ---------- ------ ------------ --------------------
  ZENTEC                 2018-01-01   2018-01-16     150.90     138.95      4       -47.80 close-based stoploss sell at open on 2018-01-16
  ARTSON                 2018-01-01   2018-01-16     118.75     103.06    131    -2,055.39 hard stoploss hit on 2018-01-16 (low=102.20)
  SUMMITSEC              2018-01-01   2018-01-17   1,347.95   1,200.00     14    -2,071.30 close-based stoploss sell at open on 2018-01-17
  KLBRENG-B              2018-01-01   2018-01-17     114.00     101.90    178    -2,153.80 close-based stoploss sell at open on 2018-01-17
  HESTERBIO              2018-01-01   2018-01-17   1,868.40   1,622.60      9    -2,212.20 close-based stoploss sell at open on 2018-01-17
  WOCKPHARMA             2018-01-01   2018-01-17     859.15     784.33      2      -149.64 hard stoploss hit on 2018-01-17 (low=784.30)
  GRAPHITE               2018-01-08   2018-01-19     835.50     760.00     22    -1,661.00 close-based stoploss sell at open on 2018-01-19
  GANESHHOU              2018-01-01   2018-01-19     175.70     160.80    102    -1,519.80 close-based stoploss sell at open on 2018-01-19
  BENGALASM              2018-01-01   2018-01-22   2,775.05   2,610.00      7    -1,155.35 swap: score 67.4 → DEEPAKNTR (85.6)
  VHL                    2018-01-01   2018-01-29   5,176.90   5,100.00      3      -230.70 stoploss hit
  BHARATWIRE             2018-01-01   2018-01-29     148.15     134.30    116    -1,606.60 stoploss hit
  ULTRAMAR               2018-01-01   2018-01-29     399.95     366.00     46    -1,561.70 swap: score 66.3 → BIOCON (90.8)
  AURIONPRO              2018-01-01   2018-01-29     116.50     115.35    149      -171.35 swap: score 68.7 → JUBLFOOD (90.5)
  WELCORP                2018-01-22   2018-01-31     191.65     167.95     86    -2,038.20 close-based stoploss sell at open on 2018-01-31
  JUBLFOOD               2018-01-29   2018-02-01     222.40     205.35    122    -2,080.10 close-based stoploss sell at open on 2018-02-01
  MAITHANALL             2018-01-22   2018-02-01     931.90     884.70     22    -1,038.40 close-based stoploss sell at open on 2018-02-01
  SESHAPAPER             2018-01-22   2018-02-01     226.00     192.08     66    -2,238.72 hard stoploss hit on 2018-02-01 (low=190.10)
  WINDMACHIN             2018-01-22   2018-02-02     131.85     107.97     91    -2,173.08 hard stoploss hit on 2018-02-02 (low=100.10)
  PRAKASH                2018-01-01   2018-02-02     196.60     204.79    103      +843.57 hard stoploss hit on 2018-02-02 (low=188.50)
  DEEPAKNTR              2018-01-22   2018-02-02     283.00     256.89     70    -1,827.70 hard stoploss hit on 2018-02-02 (low=221.00)
  RADICO                 2018-01-22   2018-02-05     363.50     314.10     53    -2,618.20 stoploss hit
  JINDALSTEL             2018-01-08   2018-02-05     246.00     239.00    100      -700.00 stoploss hit
  UNIABEXAL              2018-01-22   2018-02-05     560.00     489.77     33    -2,317.59 hard stoploss hit on 2018-02-05 (low=484.20)
  ALEMBICLTD             2018-01-29   2018-02-06      67.60      58.26    243    -2,269.62 hard stoploss hit on 2018-02-06 (low=57.10)
  EIHOTEL                2018-01-22   2018-02-06     196.65     169.70     86    -2,317.70 hard stoploss hit on 2018-02-06 (low=165.50)
  JUBLFOOD               2018-02-05   2018-03-05     196.00     200.50    103      +463.50 swap: score 66.3 → VENKEYS (96.6)
  JUBLPHARMA             2018-02-12   2018-03-07     951.00     820.00     13    -1,703.00 close-based stoploss sell at open on 2018-03-07
  PANACEABIO             2018-01-29   2018-03-07     227.50     201.23     61    -1,602.47 hard stoploss hit on 2018-03-07 (low=198.20)
  ESCORTS                2018-02-12   2018-03-08     912.00     845.00     23    -1,541.00 close-based stoploss sell at open on 2018-03-08
  LUXIND                 2018-02-05   2018-03-08   1,621.10   1,716.55     14    +1,336.30 close-based stoploss sell at open on 2018-03-08
  VIMTALABS              2018-02-05   2018-03-12      98.50      98.50    117        +0.00 swap: score 66.1 → RML (92.2)
