tradingsymbol,ema_50_slope,trend_rank,distance_from_ema_200,trend_extension_rank,final_trend_score,rsi_signal_ema_3,momentum_rsi_rank,ppo_12_26_9,momentum_ppo_rank,ppoh_12_26_9,momentum_ppoh_rank,final_momentum_score,risk_adjusted_return,efficiency_rank,rvol,rvolume_rank,price_vol_correlation,price_vol_corr_rank,final_vol_score,bbb_20_2_2,structure_rank,percent_b,structure_bb_rank,final_structure_score,composite_score,ranking_date,rank
HINDZINC,0.033690635071088645,99.22425952045134,0.23275489561359075,100.0,99.5345557122708,77.94485309501326,90.0,5.685352889691822,98.02538787023978,2.3200535083258136,97.81382228490833,93.9703808180536,859.048989295034,99.78843441466854,0.1637284975344966,78.98448519040903,0.8870480749125991,98.37799717912553,84.80253878702398,32.23316258356669,97.24964739069112,0.933901601318599,100.0,98.62482369534555,95.89351198871651,2025-12-18,1
INFOBEAN,0.049900891741077265,99.50634696755995,0.4696906684910379,70.0,87.70380818053596,67.84237164037029,100.0,8.102065256342316,99.36530324400564,3.807803458720672,99.64739069111424,99.73906911142454,556.485414483766,99.29478138222849,0.2923049788538768,92.524682651622,0.805337998087124,94.64033850493652,93.15937940761634,45.54281637205696,99.36530324400564,0.8918906960524495,100.0,99.68265162200282,95.04703808180535,2025-12-18,2
PFOCUS,0.0324838566254285,99.08321579689704,0.33958738500172847,100.0,99.44992947813822,65.70812674235643,100.0,7.8068576598268935,99.29478138222849,2.9095631188774123,98.66008462623414,99.52045133991537,488.84757477797166,98.94217207334273,0.1296619952468172,69.39351198871651,0.2943147617107382,58.0394922425952,65.98730606488012,35.83339266127751,97.95486600846263,0.8170693056113999,100.0,98.97743300423132,94.299365303244,2025-12-18,3
HINDCOPPER,0.023229470792003014,97.88434414668548,0.2683164715005308,100.0,98.73060648801129,61.064311695741736,100.0,5.776506729514981,98.30747531734838,2.314528291255787,97.60225669957687,99.0126939351199,370.7275441937244,98.02538787023978,0.1510438548833767,75.31734837799718,0.6892812347333769,88.787023977433,79.35825105782791,25.926963442356772,94.85190409026798,0.7430835745790916,60.0,77.42595204513398,93.6237658674189,2025-12-18,4
INDIACEM,0.011952646112637752,92.73624823695346,0.16763755274076472,100.0,95.64174894217207,60.17044081029954,100.0,1.9235594014646153,92.94781382228491,0.9594294410007201,86.53032440056417,95.1904090267983,130.33910782792174,90.62059238363894,0.35458529817961326,94.49929478138223,0.8696268653549126,97.74330042313117,95.47249647390692,15.3274758063345,73.5543018335684,0.8402962581756184,100.0,86.7771509167842,93.61283497884345,2025-12-18,5
ZUARI,0.0216697427262176,97.53173483779972,0.19161457438530616,100.0,98.51904090267982,62.96330580268395,100.0,2.2134372254688586,93.86459802538786,1.020973509588141,87.65867418899859,95.69111424541607,173.78651746168552,93.01833568406207,0.13621621429209693,70.73342736248237,0.855245413710423,97.17912552891397,78.66713681241185,23.289109871352835,92.31311706629054,0.8473953963305435,100.0,96.15655853314527,93.49788434414668,2025-12-18,6
HINDALCO,0.012078050109860104,93.0888575458392,0.1614878040677933,100.0,95.85331452750353,62.885390047735854,100.0,2.0653071581449094,93.22990126939351,0.805252424486631,83.42736248236953,94.65444287729196,326.3586268830776,97.24964739069112,0.10787380856917542,61.706629055007056,0.7319091337194505,91.04372355430183,70.50775740479548,10.908364405046193,50.49365303244006,0.8522628149427534,100.0,75.24682651622003,89.9703808180536,2025-12-18,7
JAMNAAUTO,0.031122583970173485,99.01269393511988,0.23419183899733273,100.0,99.40761636107193,68.74319580283634,100.0,6.213452703757699,98.66008462623414,-0.6476753897187795,26.44569816643159,84.88716502115656,398.3381967634717,98.09590973201693,0.1312589110474083,69.95768688293371,0.7748497729559345,93.30042313117066,76.9605077574048,26.291471904281952,94.99294781382228,0.6975577523238226,60.0,77.49647390691115,89.95698166431595,2025-12-18,8
GPPL,0.020775237186477582,97.24964739069112,0.18956306327191452,100.0,98.34978843441468,67.41706996865466,100.0,3.039011367611431,95.76868829337094,0.09891660445028805,61.28349788434415,90.98730606488012,270.0729286551053,96.33286318758815,0.1195542777176492,66.22002820874471,0.5740581317304354,80.95909732016925,70.64174894217207,11.28808200120151,52.53878702397743,0.8021467677295336,100.0,76.26939351198871,89.74153737658673,2025-12-18,9
VEDL,0.021141009676093506,97.46121297602257,0.23201398039109453,100.0,98.47672778561353,71.11361379699063,90.0,2.2590914507652236,93.93511988716502,0.6755429251494043,80.95909732016925,89.37235543018336,490.7847208913683,99.01269393511988,0.08931971255154436,51.48095909732017,0.5327250478120438,78.06770098730607,59.45698166431593,16.632765521301852,78.42031029619181,0.9424319096210142,100.0,89.21015514809591,89.52820874471087,2025-12-18,10
BSOFT,0.01911064187056447,96.75599435825106,0.046762608846685615,80.0,90.05359661495064,65.59818442501673,100.0,5.671605824930759,97.95486600846263,1.399069676421683,92.2425952045134,97.83497884344146,443.68884757711874,98.44851904090268,0.24091067474016026,89.70380818053597,-0.17595971462390822,21.791255289139634,69.33004231311706,22.440515550936027,91.46685472496475,0.773586649701569,60.0,75.73342736248237,89.1373765867419,2025-12-18,11
NATIONALUM,0.023541891439031,98.02538787023978,0.2836369204099416,100.0,98.81523272214386,66.46353758994499,100.0,2.550402869669028,94.78138222849083,0.24622649676076813,67.70098730606487,91.97461212976023,313.6389454916568,97.10860366713682,0.09017827035417755,52.256699576868826,0.8990390768000296,98.66008462623414,66.17771509167842,13.47028332970137,65.0916784203103,0.7912107926074766,60.0,62.54583921015515,88.24118476727786,2025-12-18,12
IDFCFIRSTB,0.012229803940472971,93.37094499294781,0.1365237775944926,100.0,96.02256699576868,61.497266537449676,100.0,1.0868132164874138,89.28067700987306,0.4886818212196715,76.65726375176305,92.11565585331454,274.72062647782616,96.47390691114246,0.11697756697883978,65.0916784203103,0.535824752204352,78.27926657263752,69.04795486600847,8.520567510375926,33.14527503526093,0.8306819204067171,100.0,66.57263751763047,88.14492242595205,2025-12-18,13
NAM-INDIA,0.004930280700946437,84.97884344146685,0.1594110726639506,100.0,90.9873060648801,59.18722905885339,100.0,-1.5430776305900937,56.98166431593794,0.2851260523232755,69.25246826516221,80.94499294781383,128.53389627247208,90.40902679830748,1.8964101284113213,99.71791255289139,0.6029818756670307,83.21579689703809,94.7672778561354,13.566366559673703,65.44428772919605,1.0667803185396336,100.0,82.72214386459802,88.1015514809591,2025-12-18,14
SHRIRAMFIN,0.018560631188870084,96.4033850493653,0.26188925403584873,100.0,97.84203102961918,64.59167427383485,100.0,0.8791718866543021,87.44710860366713,-0.6220336989396751,27.291960507757405,81.69252468265162,245.83604119091942,95.55712270803949,0.21652750227354012,87.94076163610718,0.6349892513820519,84.76727785613541,86.98871650211564,6.491055411267143,15.514809590973202,0.9695901384468416,100.0,57.7574047954866,87.71121297602257,2025-12-18,15
