================================================================================
1. SUMMARY TABLE - Key columns
================================================================================
            date  starting_capital      sold    bought  remaining  portfolio_value  gain_percentage
0     2021-01-04         100000.00   8273.72  67340.70   40933.02         98301.87            -1.70
1     2021-01-05          40933.02      0.00      0.00   40933.02         89112.47           -10.89
2     2021-01-06          40933.02      0.00      0.00   40933.02         89312.82           -10.69
3     2021-01-07          40933.02      0.00      0.00   40933.02         89910.02           -10.09
4     2021-01-08          40933.02      0.00      0.00   40933.02         90176.67            -9.82
5     2021-01-11          40933.02  11662.00   7352.40   45242.62         89895.92           -10.10
6     2021-01-12          45242.62   7660.80      0.00   52903.42         89507.87           -10.49
7     2021-01-13          52903.42   3503.18      0.00   56406.60         89023.50           -10.98
8     2021-01-14          56406.60      0.00      0.00   56406.60         88621.55           -11.38
9     2021-01-15          56406.60   4273.24      0.00   60679.84         87929.14           -12.07
10    2021-01-18          60679.84  23124.14  28887.55   54916.43         87927.68           -12.07
11    2021-01-19          54916.43      0.00      0.00   54916.43         88422.68           -11.58
12    2021-01-20          54916.43      0.00      0.00   54916.43         88972.43           -11.03
13    2021-01-21          54916.43      0.00      0.00   54916.43         88692.23           -11.31
14    2021-01-22          54916.43      0.00      0.00   54916.43         88358.93           -11.64
15    2021-01-25          54916.43   8667.20  14801.70   48781.93         87196.78           -12.80
16    2021-01-26          48781.93      0.00      0.00   48781.93         87196.78           -12.80
17    2021-01-27          48781.93   7286.49      0.00   56068.42         86908.87           -13.09
18    2021-01-28          56068.42   3440.80      0.00   59509.22         87004.72           -13.00
19    2021-01-29          59509.22      0.00      0.00   59509.22         87528.47           -12.47
20    2021-02-01          59509.22   5977.40  28908.35   36578.27         89458.52           -10.54
21    2021-02-02          36578.27      0.00      0.00   36578.27         90264.87            -9.74
22    2021-02-03          36578.27      0.00      0.00   36578.27         91439.72            -8.56
23    2021-02-04          36578.27      0.00      0.00   36578.27         93672.72            -6.33
24    2021-02-05          36578.27   7015.03      0.00   43593.30         93305.30            -6.69
25    2021-02-08          43593.30  32723.70  27235.50   49081.50         89319.55           -10.68
26    2021-02-09          49081.50      0.00      0.00   49081.50         90093.05            -9.91
27    2021-02-10          49081.50      0.00      0.00   49081.50         90614.05            -9.39
28    2021-02-11          49081.50      0.00      0.00   49081.50         91755.50            -8.24
29    2021-02-12          49081.50      0.00      0.00   49081.50         91645.25            -8.35
30    2021-02-15          49081.50  14587.45  15332.80   48336.15         91236.75            -8.76
31    2021-02-16          48336.15  11064.06      0.00   59400.21         90464.01            -9.54
32    2021-02-17          59400.21      0.00      0.00   59400.21         90649.06            -9.35
33    2021-02-18          59400.21      0.00      0.00   59400.21         90444.36            -9.56
34    2021-02-19          59400.21      0.00      0.00   59400.21         90344.46            -9.66
35    2021-02-22          59400.21  16436.12  17679.50   58156.83         89267.68           -10.73
36    2021-02-23          58156.83      0.00      0.00   58156.83         86588.38           -13.41
37    2021-02-24          58156.83      0.00      0.00   58156.83         86705.53           -13.29
38    2021-02-25          58156.83      0.00      0.00   58156.83         86957.08           -13.04
39    2021-02-26          58156.83      0.00      0.00   58156.83         86373.28           -13.63
40    2021-03-01          58156.83  10549.04  22262.10   46443.77         86402.37           -13.60
41    2021-03-02          46443.77      0.00      0.00   46443.77         86330.37           -13.67
42    2021-03-03          46443.77      0.00      0.00   46443.77         86265.62           -13.73
43    2021-03-04          46443.77   4321.40      0.00   50765.17         86168.02           -13.83
44    2021-03-05          50765.17      0.00      0.00   50765.17         85937.52           -14.06
45    2021-03-08          50765.17  15360.20  20298.95   45826.42         86536.32           -13.46
46    2021-03-09          45826.42      0.00      0.00   45826.42         85994.97           -14.01
47    2021-03-10          45826.42      0.00      0.00   45826.42         85761.17           -14.24
48    2021-03-11          45826.42      0.00      0.00   45826.42         85761.17           -14.24
49    2021-03-12          45826.42      0.00      0.00   45826.42         85406.92           -14.59
50    2021-03-15          45826.42  11995.28   7438.00   50383.70         85043.95           -14.96
51    2021-03-16          50383.70      0.00      0.00   50383.70         84977.30           -15.02
52    2021-03-17          50383.70   7286.90      0.00   57670.60         84190.35           -15.81
53    2021-03-18          57670.60   3017.20      0.00   60687.80         83616.20           -16.38
54    2021-03-19          60687.80   7301.80      0.00   67989.60         83308.70           -16.69
55    2021-03-22          67989.60      0.00  27012.05   40977.55         83655.20           -16.34
56    2021-03-23          40977.55      0.00      0.00   40977.55         83979.85           -16.02
57    2021-03-24          40977.55      0.00      0.00   40977.55         84083.65           -15.92
58    2021-03-25          40977.55   4335.24      0.00   45312.79         83175.54           -16.82
59    2021-03-26          45312.79      0.00      0.00   45312.79         83713.09           -16.29
60    2021-03-29          45312.79   2713.20   7215.60   40810.39         83718.49           -16.28
61    2021-03-30          40810.39      0.00      0.00   40810.39         83404.34           -16.60
62    2021-03-31          40810.39      0.00      0.00   40810.39         82917.64           -17.08
63    2021-04-01          40810.39   5431.32      0.00   46241.71         83755.91           -16.24
64    2021-04-02          46241.71      0.00      0.00   46241.71         83755.91           -16.24
65    2021-04-05          46241.71   3676.75   5228.85   44689.61         83298.01           -16.70
66    2021-04-06          44689.61   5132.48      0.00   49822.09         83256.29           -16.74
67    2021-04-07          49822.09      0.00      0.00   49822.09         83480.14           -16.52
68    2021-04-08          49822.09      0.00      0.00   49822.09         83564.84           -16.44
69    2021-04-09          49822.09      0.00      0.00   49822.09         83942.99           -16.06
70    2021-04-12          49822.09  12161.60  12759.00   49224.69         82228.04           -17.77
71    2021-04-13          49224.69   3345.09      0.00   52569.78         82877.93           -17.12
72    2021-04-14          52569.78      0.00      0.00   52569.78         82877.93           -17.12
73    2021-04-15          52569.78   2480.52      0.00   55050.30         83016.75           -16.98
