,Symbol,Data_Found,Price,Short_MA,Long_MA,RSI,RSI_Signal,ROC,MACD,Signal_Line,Stoch_K,Stoch_D,Bandwidth,Hist_Low_BW,Volume,Vol_Short,Vol_Long,Status,setup_type,Summary,Trend_OK,RSI_OK,Squeeze_OK,MACD_OK,vol_rising,Issue
0,1STCUS,True,84.15,89.91,103.34,44.59,46.47,-0.09,-1.15,-0.54,36.96,51.53,18.41,9.44,100.0,150.10520259310158,471.355229043468,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
1,20MICRONS,True,188.41,202.79,218.74,40.79,37.78,0.23,-4.81,-5.19,37.7,29.83,7.85,4.42,93720.0,70469.70862514431,67455.72374468503,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
2,21STCENMGM,True,43.73,44.87,59.02,63.85,34.49,16.52,-0.95,-1.78,97.72,95.46,23.98,4.17,12071.0,7588.85828774521,6523.519110678295,FAIL,NONE,Downtrend | No Squeeze,False,True,False,True,True,
3,360ONE,True,1117.4,1116.12,1090.22,49.6,66.45,-0.23,8.85,11.73,8.04,39.04,12.67,7.76,1729841.0,1002001.7413312222,862524.8035999433,FAIL,NONE,No Squeeze | MACD Wait,True,True,False,False,True,
4,3BBLACKBIO,True,1249.95,1337.25,1533.59,41.27,41.21,-0.05,-25.78,-26.16,50.24,45.46,14.58,4.34,9430.0,5442.807881715831,5216.927297423319,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
5,3IINFOLTD,True,15.9,18.32,21.7,3.64,23.4,-6.31,-0.59,-0.6,14.63,9.58,13.29,7.68,678135.0,487245.6799083854,527547.7772443548,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
6,3MINDIA,True,34400.0,33261.94,31087.36,27.7,24.33,-2.52,444.87,752.77,33.09,34.91,7.0,3.44,3730.0,5125.992700132122,7625.045864391893,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
7,3PLAND,True,38.69,41.3,46.0,40.8,41.11,-3.3,-0.78,-0.79,47.15,46.58,6.66,4.76,15628.0,8983.008284389045,12045.218319199765,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
8,4THGEN,False,,,,,,,,,,,,,,,,,,,,,,,,136295172
9,5PAISA,True,307.0,328.72,370.44,37.36,55.02,-7.96,-2.08,0.71,22.68,15.29,24.65,4.76,117020.0,104353.54978871034,321810.4456233912,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
10,63MOONS,True,774.3,809.81,848.33,56.44,61.05,7.16,4.35,1.83,29.79,33.56,27.96,3.85,207822.0,422121.15785824705,665564.2596702282,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
11,7NR,True,4.0,4.35,5.04,29.09,33.37,-4.99,-0.09,-0.08,41.67,43.89,9.94,3.91,34520.0,35296.4097376657,38789.11070115607,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
