Index Name,5-Year High,High Date,Current Price,% Difference from Top
BSE:ALLCAP,11325.09,2024-09-27,10471.31,-7.54
BSE:AUTO,64584.14,2026-01-05,59203.43,-8.33
BSE:BANKEX,69406.97,2026-02-03,65786.05,-5.22
NSE:BHARATBOND-APR30,1575.91,2026-03-04,1575.89,-0.0
NSE:BHARATBOND-APR31,1432.52,2026-02-27,1431.72,-0.06
NSE:BHARATBOND-APR32,1304.17,2025-12-09,1301.87,-0.18
NSE:BHARATBOND-APR33,1265.44,2025-12-09,1263.97,-0.12
BSE:BHRT22,9837.1,2026-02-25,9365.62,-4.79
BSE:BSE 1000,11234.91,2026-01-05,10374.16,-7.66
BSE:BSE 200 EQUAL WEIGHT,13947.79,2024-10-01,12745.89,-8.62
BSE:BSE 500 MOMENTUM 50,45433.09,2026-02-26,42619.79,-6.19
BSE:BSE 500 QUALITY 50,22160.25,2026-02-03,20593.95,-7.07
BSE:BSE CAPITAL MKTS & INSURANCE,2453.56,2026-02-23,2298.61,-6.32
BSE:BSE CD,69044.38,2024-09-24,56109.25,-18.73
BSE:BSE CG,76271.56,2024-07-09,68555.45,-10.12
BSE:BSE HC,46018.05,2025-07-30,42915.81,-6.74
BSE:BSE INDIA 150,18419.33,2026-03-04,18358.47,-0.33
BSE:BSE INDIA SECT LEADER,15661.02,2025-07-03,14328.03,-8.51
BSE:BSE INTERNET ECONOMY,3265.21,2025-10-28,2710.22,-17.0
BSE:BSE IT,45791.73,2024-12-13,29401.44,-35.79
BSE:BSE POWER & ENERGY,4534.3,2024-10-04,3845.93,-15.18
BSE:BSE PSU BANK,5590.18,2026-02-26,5205.49,-6.88
BSE:BSE SELECT BUSINESS GROUPS,4687.06,2026-01-05,4188.67,-10.63
BSE:BSE SENSEX SIXTY,35434.57,2026-01-05,32837.51,-7.33
BSE:BSE SENSEX SIXTY 65:35,35978.21,2026-01-05,33584.88,-6.65
BSE:BSE SERVICES,1649.86,2024-08-01,1397.56,-15.29
BSE:BSE SME IPO,122298.3,2025-01-06,81683.55,-33.21
BSE:BSE100,27762.24,2024-09-27,25576.77,-7.87
BSE:BSE200,12107.34,2024-09-27,11091.04,-8.39
BSE:BSE500,38740.08,2024-09-27,35033.86,-9.57
BSE:BSEDSI,1149.05,2024-09-27,1043.31,-9.2
BSE:BSEEVI,1150.94,2026-02-27,1083.18,-5.89
BSE:BSEFMC,24109.51,2024-09-23,18313.49,-24.04
BSE:BSEIPO,17281.24,2024-09-24,14330.23,-17.08
BSE:BSELVI,1996.66,2024-09-27,1793.59,-10.17
BSE:BSEMOI,2484.21,2024-09-27,2105.73,-15.24
BSE:BSEPBI,21724.28,2026-02-03,20108.4,-7.44
BSE:BSEPSU,23018.87,2024-08-01,21591.62,-6.2
BSE:BSEQUI,2108.86,2024-09-27,1776.05,-15.78
BSE:CARBON,4352.06,2024-08-30,4344.48,-0.17
BSE:CDGS,11106.81,2024-09-27,6037.43,-45.64
BSE:CPSE,4643.22,2024-08-01,3924.76,-15.47
BSE:DFRGRI,1719.26,2026-01-06,1582.8,-7.94
BSE:DOL100,3432.65,2024-09-27,2893.46,-15.71
BSE:DOL200,2409.36,2024-09-27,2019.18,-16.19
BSE:DOL30,8438.82,2024-09-27,7075.77,-16.15
BSE:ESG100,440.83,2026-01-05,407.59,-7.54
BSE:FINANCIAL SERVICES,13392.39,2026-02-19,12621.48,-5.76
BSE:GREENX,7844.17,2024-08-30,7827.5,-0.21
NSE:INDIA VIX,33.97,2022-02-24,20.86,-38.59
BSE:INDSTR,16533.21,2024-07-09,14415.57,-12.81
BSE:INFRA,750.66,2024-08-01,10.9,-98.55
BSE:LCTMCI,9836.0,2024-09-27,9059.08,-7.9
BSE:LMI250,11482.65,2024-09-27,10507.97,-8.49
BSE:LRGCAP,10255.62,2024-09-27,9608.2,-6.31
BSE:METALINDEX,41101.11,2026-02-26,38681.46,-5.89
BSE:MFG,1156.01,2024-09-27,1068.18,-7.6
BSE:MID150,17174.55,2024-09-24,15344.97,-10.65
BSE:MIDCAP,49701.15,2024-09-24,44246.27,-10.98
BSE:MIDSEL,18293.47,2024-09-24,16070.28,-12.15
BSE:MSL400,13045.31,2024-09-24,11218.16,-14.01
NSE:NIFTY 100,27335.65,2024-09-27,25044.3,-8.38
NSE:NIFTY 200,14833.75,2024-09-27,13635.25,-8.08
NSE:NIFTY 50,26373.2,2026-01-05,24396.9,-7.49
NSE:NIFTY 500,24573.4,2024-09-27,22339.45,-9.09
NSE:NIFTY ALPHA 50,61682.0,2024-09-24,48460.4,-21.44
NSE:NIFTY ALPHALOWVOL,31547.05,2024-09-27,26275.2,-16.71
NSE:NIFTY AQL 30,25966.7,2024-09-27,22087.25,-14.94
NSE:NIFTY AQLV 30,22891.41,2024-09-27,20162.65,-11.92
NSE:NIFTY AUTO,29179.1,2026-01-05,26792.5,-8.18
NSE:NIFTY BANK,61764.85,2026-02-03,58541.9,-5.22
NSE:NIFTY CAPITAL MKT,4964.25,2026-02-11,4402.8,-11.31
NSE:NIFTY CHEMICALS,29347.4,2026-01-07,26864.15,-8.46
NSE:NIFTY COMMODITIES,10078.6,2026-02-25,9553.05,-5.21
NSE:NIFTY CONSR DURBL,44426.55,2024-09-24,35600.55,-19.87
NSE:NIFTY CONSUMPTION,13057.6,2024-09-27,11141.2,-14.68
NSE:NIFTY COREHOUSING,17961.72,2024-09-27,14331.9,-20.21
NSE:NIFTY CORP MAATR,40819.65,2024-09-27,35534.15,-12.95
NSE:NIFTY CPSE,7661.9,2024-08-01,7017.4,-8.41
NSE:NIFTY DIV OPPS 50,7012.65,2024-09-27,6128.4,-12.61
NSE:NIFTY ENERGY,45022.15,2024-08-01,35702.95,-20.7
NSE:NIFTY EV,3530.94,2024-09-27,2936.05,-16.85
NSE:NIFTY FIN SERVICE,28562.5,2026-02-23,26923.35,-5.74
NSE:NIFTY FINSEREXBNK,32654.2,2026-01-06,29910.85,-8.4
NSE:NIFTY FINSRV25 50,30998.05,2026-02-12,29184.5,-5.85
NSE:NIFTY FMCG,66438.7,2024-09-23,50011.8,-24.72
NSE:NIFTY GROWSECT 15,13065.05,2024-09-27,11163.5,-14.55
NSE:NIFTY GS 10YR,2638.23,2026-01-12,2622.41,-0.6
NSE:NIFTY GS 10YR CLN,960.74,2021-05-21,884.73,-7.91
NSE:NIFTY GS 11 15YR,3291.36,2025-06-06,3261.41,-0.91
NSE:NIFTY GS 15YRPLUS,3585.33,2025-06-06,3503.32,-2.29
NSE:NIFTY GS 4 8YR,3265.89,2026-03-02,3260.97,-0.15
NSE:NIFTY GS 8 13YR,2994.7,2026-03-02,2984.67,-0.33
NSE:NIFTY GS COMPSITE,3079.27,2026-03-02,3068.69,-0.34
NSE:NIFTY HEALTHCARE,15148.75,2026-02-26,14564.6,-3.86
NSE:NIFTY HIGHBETA 50,4350.42,2024-07-31,3589.1,-17.5
NSE:NIFTY HOUSING,12386.31,2024-09-26,11403.95,-7.93
NSE:NIFTY IND DEFENCE,9195.15,2025-06-06,8099.75,-11.91
NSE:NIFTY IND DIGITAL,10152.15,2024-12-17,7677.85,-24.37
NSE:NIFTY IND TOURISM,9497.2,2025-07-18,7334.55,-22.77
NSE:NIFTY INDIA MFG,15992.35,2026-02-26,15196.45,-4.98
NSE:NIFTY INFRA,9792.6,2026-01-05,9062.25,-7.46
NSE:NIFTY INFRALOG,11646.25,2026-02-19,10888.35,-6.51
NSE:NIFTY IPO,2387.54,2024-09-23,1869.3,-21.71
NSE:NIFTY IT,46088.9,2024-12-13,30279.2,-34.3
NSE:NIFTY LARGEMID250,17095.2,2024-09-27,15821.7,-7.45
NSE:NIFTY LOW VOL 50,26605.13,2024-09-27,24369.7,-8.4
NSE:NIFTY M150 QLTY50,26114.8,2024-10-01,22517.65,-13.77
NSE:NIFTY MEDIA,2508.6,2024-01-11,1347.3,-46.29
NSE:NIFTY METAL,12509.75,2026-01-29,11722.65,-6.29
NSE:NIFTY MICROCAP250,26476.9,2024-12-12,20291.6,-23.36
NSE:NIFTY MID LIQ 15,16755.8,2025-12-01,14443.4,-13.8
NSE:NIFTY MID SELECT,14118.4,2025-12-01,12953.65,-8.25
NSE:NIFTY MIDCAP 100,61548.85,2026-01-07,56699.4,-7.88
NSE:NIFTY MIDCAP 150,22650.05,2026-01-07,20918.7,-7.64
NSE:NIFTY MIDCAP 50,17572.45,2026-01-07,16128.55,-8.22
NSE:NIFTY MIDSML 400,21177.6,2024-09-24,18795.0,-11.25
NSE:NIFTY MIDSML HLTH,46103.35,2025-07-30,42647.9,-7.5
NSE:NIFTY MNC,32841.15,2024-09-30,30565.6,-6.93
NSE:NIFTY MOBILITY,23611.2,2026-01-05,21667.0,-8.23
NSE:NIFTY MS FIN SERV,21300.0,2026-02-11,19683.8,-7.59
NSE:NIFTY MS IND CONS,21008.1,2024-12-17,17312.95,-17.59
NSE:NIFTY MS IT TELCM,11723.19,2024-09-13,8221.75,-29.87
NSE:NIFTY MULTI INFRA,15154.1,2024-09-27,13498.6,-10.92
NSE:NIFTY MULTI MFG,16323.15,2026-01-05,15305.9,-6.23
NSE:NIFTY MULTI MQ 50,50285.9,2024-07-15,39085.45,-22.27
NSE:NIFTY NEW CONSUMP,12686.49,2024-09-23,10618.5,-16.3
NSE:NIFTY NEXT 50,77918.0,2024-09-27,66758.35,-14.32
NSE:NIFTY NONCYC CONS,18289.67,2024-09-23,14403.8,-21.25
NSE:NIFTY OIL AND GAS,13607.2,2024-09-02,11689.15,-14.1
NSE:NIFTY PHARMA,23907.9,2024-10-09,22565.35,-5.62
NSE:NIFTY PSE,11814.6,2024-08-01,10145.65,-14.13
NSE:NIFTY PSU BANK,9918.65,2026-02-26,9275.75,-6.48
NSE:NIFTY PVT BANK,29748.45,2026-02-03,27816.2,-6.5
NSE:NIFTY QLTY LV 30,19474.92,2024-09-27,16445.4,-15.56
NSE:NIFTY REALTY,1157.35,2024-06-18,740.0,-36.06
NSE:NIFTY RURAL,16396.4,2026-02-19,15421.35,-5.95
NSE:NIFTY SERV SECTOR,34549.75,2026-02-03,31489.35,-8.86
NSE:NIFTY SHARIAH 25,9449.53,2024-09-27,7694.95,-18.57
NSE:NIFTY SME EMERGE,15395.3,2025-11-24,12259.95,-20.37
NSE:NIFTY SML250 Q50,31578.03,2024-12-11,23118.3,-26.79
NSE:NIFTY SMLCAP 100,19716.2,2024-12-12,16225.6,-17.7
NSE:NIFTY SMLCAP 250,18688.3,2024-09-24,15210.35,-18.61
NSE:NIFTY SMLCAP 50,9505.5,2024-12-11,7963.9,-16.22
NSE:NIFTY TATA 25 CAP,16583.6,2024-04-12,14341.8,-13.52
NSE:NIFTY TOP 10 EW,10118.45,2025-12-23,8994.25,-11.11
NSE:NIFTY TOP 15 EW,11110.6,2026-01-05,10172.8,-8.44
NSE:NIFTY TOP 20 EW,9768.2,2026-02-03,8964.0,-8.23
NSE:NIFTY TOTAL MKT,13842.6,2024-09-27,12516.65,-9.58
