Symbol,Data_Found,Price,Short_MA,Long_MA,RSI,RSI_Signal,ROC,MACD,Signal_Line,Stoch_K,Stoch_D,Bandwidth,Hist_Low_BW,Volume,Vol_Short,Vol_Long,Status,setup_type,Summary,Trend_OK,RSI_OK,Squeeze_OK,MACD_OK,vol_rising,Issue
ALKEM.NS,True,5675.5,5584.95,5335.88,45.23,47.96,-0.43,17.43,30.16,44.26,36.68,3.0,2.79,117812.0,93624.70498599397,137124.23297289293,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
ASTRAZEN.NS,True,9226.5,9131.0,8630.14,55.79,44.55,2.65,-16.99,-34.43,58.78,51.31,3.53,3.27,4344.0,5395.809936857796,8540.97793201395,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,True,False,
BAJFINANCE.NS,True,1048.0,1018.81,933.3,55.6,48.41,4.37,-0.54,-3.57,83.69,73.97,8.35,4.99,13123572.0,8570099.592966553,7608618.046104527,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
BAJAJFINSV.NS,True,2096.5,2063.21,1977.11,52.63,51.34,2.15,-0.33,-1.4,76.68,41.32,6.0,4.22,1742156.0,1086781.0452905595,1040525.1253300855,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
BANKINDIA.NS,True,143.11,137.81,122.23,39.92,51.44,-1.62,1.63,2.96,32.63,20.76,6.0,5.34,4937787.0,7278968.398258607,8358680.027361762,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
CESC.NS,True,174.0,170.62,164.81,47.11,46.54,1.16,0.51,0.32,64.38,73.03,5.7,5.58,768522.0,1322682.7054554129,1536129.0288637572,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,True,False,
CANFINHOME.NS,True,900.8,855.56,792.73,53.29,54.63,1.79,12.62,14.66,41.13,36.92,4.55,4.49,195016.0,246299.9159314779,280010.6657969323,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
COFORGE.NS,True,1977.9,1807.31,1736.7,75.27,68.24,10.04,48.67,37.56,95.25,90.99,13.59,6.05,1822538.0,1780394.9844798767,1512924.6250737156,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
HDFCBANK.NS,True,1003.3,990.91,962.45,53.33,57.17,0.53,3.21,3.51,60.77,54.56,3.01,2.84,12843366.0,16353843.01482841,18829127.329192296,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
HINDCOPPER.NS,True,371.85,326.77,285.21,68.14,51.38,18.37,5.78,1.55,96.72,91.71,18.2,7.69,41882585.0,30151951.519073866,15379186.356486412,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
IDFCFIRSTB.NS,True,80.87,77.83,71.73,49.36,48.09,3.24,0.75,0.89,69.48,59.2,5.03,4.96,16411050.0,19686773.521216463,23322164.70199845,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
INDIACEM.NS,True,416.2,393.02,365.6,52.12,52.11,3.1,1.54,0.97,85.0,56.44,12.15,3.13,2334948.0,2369120.926062976,1118624.6944925722,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
JBCHEPHARM.NS,True,1825.4,1744.18,1710.04,50.88,47.54,5.54,17.98,16.21,90.03,71.55,7.05,2.65,124874.0,169882.9237423913,166123.83230193582,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
KEI.NS,True,4163.5,4096.14,3945.21,51.29,60.02,2.04,20.21,12.16,74.4,78.35,4.09,4.09,124291.0,140572.47984436978,155497.93014529167,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,True,False,
M&M.NS,True,3717.1,3613.0,3321.36,48.07,50.94,-0.87,25.14,33.87,55.43,30.3,3.53,3.53,2393280.0,2209010.08278243,2254455.7927933554,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
MANAPPURAM.NS,True,279.7,278.59,254.85,46.55,56.53,0.94,0.12,0.37,39.71,19.89,5.87,5.87,1631977.0,1768709.8023113185,2732058.526437751,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
NEULANDLAB.NS,True,16887.0,16357.85,14877.8,44.5,41.3,1.74,68.31,120.69,60.16,56.09,10.55,9.31,31420.0,99966.18325136653,83073.04060485547,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,True,
PTCIL.NS,True,18875.0,17064.22,15165.01,83.41,69.67,9.51,438.61,374.14,97.83,84.21,12.08,3.78,38740.0,25261.36890540985,18057.17518813722,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
PHOENIXLTD.NS,True,1725.1,1687.39,1631.5,44.82,47.41,1.6,9.91,13.54,62.8,64.52,4.25,4.25,354160.0,296019.4775707484,398412.176105636,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
SBILIFE.NS,True,2023.7,1940.08,1784.83,56.75,53.1,0.06,18.75,24.81,53.54,35.89,3.91,3.63,749526.0,722119.1299625051,849787.6626878529,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
TITAN.NS,True,3813.3,3753.82,3560.1,41.33,57.2,-2.33,28.84,48.02,20.28,17.21,4.21,4.21,508448.0,642010.9436520382,731769.9223850163,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
UNOMINDA.NS,True,1272.4,1268.44,1160.77,40.83,49.1,-0.7,4.66,9.57,22.16,14.81,5.49,4.98,1018005.0,716984.522152294,762200.4685536961,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,False,
