Rows matching GS\d+: 82
     tradingsymbol         name
4192     832GS2032   832GOI2032
4193     833GS2036   833GOI2036
4194     683GS2039   638GOI2039
4195      83GS2040   830GOI2040
4196     883GS2041   883GOI2041
4197      83GS2042   830GOI2042
4198     923GS2043   923GOI2043
4199     824GS2027   824GOI2027
4200     833GS2026   833GOI2026
4201     828GS2027   828GOI2027
4202     601GS2028   601GOI2028
4203     613GS2028   613GOI2028
4204     897GS2030   897GOI2030
4205      92GS2030   920GOI2030
4206     828GS2032   828GOI2032
4207     833GS2032   833GOI2032
4208      75GS2034   750GOI2034
4209      74GS2035   740GOI2035
4210     824GS2033   824GOI2033
4211    1018GS2026  1018GOI2026
4212     815GS2026   815GOI2026
4213      86GS2028   860GOI2028
4214     795GS2032   795GOI2032
4216     773GS2034    773CG2034
4217     759GS2026    759CG2026
4218     761GS2030    761CG2030
4219     759GS2029    759CG2029
4220     788GS2030    788CG2030
4222     772GS2055    772CG2055
4223     817GS2044   817GOI2044
4224     697GS2026   697GOI2026
4225     679GS2029   679GOI2029
4226     657GS2033   657GOI2033
4227     706GS2046   706GOI2046
4228     662GS2051   662GOI2051
4229     679GS2027   679GOI2027
4231     668GS2031   668GOI2031
4233     717GS2028   717GOI2028
4235     757GS2033   757GOI2033
4236     769GS2043   769GOI2043
4237     772GS2049   772GOI2049
4238     763GS2059   763GOI2059
4239     762GS2039   762GOI2039
4240     727GS2026   727GOI2026
4241     726GS2029   726GOI2029
4242     645GS2029   645GOI2029
4243     719GS2060   719GOI2060
4244     716GS2050   716GOI2050
4245     579GS2030   579GOI2030
4246     619GS2034   619GOI2034
4247      68GS2060    68GOI2060
4248     667GS2050   667GOI2050
4249     676GS2061   676GOI2061
4251     563GS2026   563GOI2026
4252     667GS2035   667GOI2035
4253     664GS2035     664GOI35
4254     699GS2051   699GOI2051
4255     695GS2061   695GOI2061
4256     654GS2032   654GOI2032
4257     754GS2036   754GOI2036
4258     738GS2027   738GOI2027
4259     710GS2029    71GOI2029
4260     736GS2052   736GOI2052
4261      74GS2062    74GOI2062
4262     726GS2032   726GOI2032
4264     741GS2036     741GOI36
4265     726GS2033   726GOI2033
4267     699GS2026     699GOI26
4268     706GS2028   706GS28M23
4269   GS12DC2032C  GS12DC2032C
4270     574GS2026    574GS2026
4271      73GS2053    73GOI2053
4272     725GS2063   725GOI2063
4273     746GS2073   746GOI2073
4274     718GS2037    718GS2037
4275     718GS2033    718GS2033
4277     733GS2026   733GS26J24
4278     734GS2064   734GOI2064
4279      71GS2034    71GOI2034
4281      723GS39P     723GS39P
4282     723GS2039    723GS2039
4283     73GS2053P    73GS2053P
